# x, F, dF, ddF, Fline, m, f, df, ddf, fline
5.8229,0.3722,-1.0000,0.0000,-4.6458,7.2786,0.3722,-0.8000,0.0000,-4.6458
5.8279,0.3672,-1.0000,0.0000,-4.6558,7.2849,0.3672,-0.8000,0.0000,-4.6558
5.8329,0.3622,-1.0000,0.0000,-4.6658,7.2911,0.3622,-0.8000,0.0000,-4.6658
5.8379,0.3572,-1.0000,0.0000,-4.6758,7.2974,0.3572,-0.8000,0.0000,-4.6758
5.8429,0.3522,-1.0000,0.0000,-4.6858,7.3037,0.3522,-0.8000,0.0000,-4.6858
5.8479,0.3472,-1.0000,0.0000,-4.6958,7.3099,0.3472,-0.8000,0.0000,-4.6958
5.8529,0.3422,-1.0000,0.0000,-4.7059,7.3162,0.3422,-0.8000,0.0000,-4.7059
5.8579,0.3372,-1.0000,0.0000,-4.7159,7.3224,0.3372,-0.8000,0.0000,-4.7159
5.8629,0.3322,-1.0000,0.0000,-4.7259,7.3287,0.3322,-0.8000,0.0000,-4.7259
5.8679,0.3272,-1.0000,0.0000,-4.7359,7.3349,0.3272,-0.8000,0.0000,-4.7359
5.8729,0.3222,-1.0000,0.0000,-4.7459,7.3412,0.3222,-0.8000,0.0000,-4.7459
5.8779,0.3172,-1.0000,0.0000,-4.7559,7.3474,0.3172,-0.8000,0.0000,-4.7559
5.8829,0.3122,-1.0000,0.0000,-4.7659,7.3537,0.3122,-0.8000,0.0000,-4.7659
5.8879,0.3072,-1.0000,0.0000,-4.7759,7.3599,0.3072,-0.8000,0.0000,-4.7759
5.8929,0.3022,-1.0000,0.0000,-4.7859,7.3662,0.3022,-0.8000,0.0000,-4.7859
